,contrast,dissimilarity,homogeneity,ASM,energy,correlation
10,"[ 324.00446429  631.85235576  377.44444444  633.26379441  975.48714718
  631.85235576 1124.88407258  633.26379441 1635.54533811 1638.54396462
 1825.02074795 1663.86134235 2243.97838542 2544.04622413 2418.7328125
 2560.86105886]","[ 8.06795635 11.54295792  8.88194444 11.53489544 14.20690524 11.54295792
 15.80695565 11.53489544 19.06685451 19.45291363 20.85476434 19.6537461
 23.23619792 25.94893846 24.95833333 25.96452567]","[0.57237199 0.54134805 0.5641852  0.54020409 0.53096093 0.54134805
 0.51917353 0.54020409 0.5078943  0.5061398  0.49951309 0.49570124
 0.49142395 0.46973774 0.47653337 0.46698771]","[0.22839248 0.21146824 0.22608012 0.21019559 0.20355193 0.21146824
 0.20150747 0.21019559 0.19161516 0.19123049 0.18869032 0.18293994
 0.18271498 0.16840761 0.17354194 0.16157596]","[0.47790426 0.45985676 0.47547884 0.45847093 0.4511673  0.45985676
 0.44889584 0.45847093 0.43773869 0.43729909 0.434385   0.42771479
 0.42745173 0.41037496 0.41658365 0.40196512]","[0.96062975 0.92398793 0.9541366  0.92381813 0.88266908 0.92398793
 0.86470004 0.92381813 0.80528492 0.80678445 0.78271745 0.80379904
 0.7356194  0.70588446 0.71496947 0.7039405 ]"
11,"[ 272.22916667  557.37994457  339.16145833  531.76039305  800.54208669
  557.37994457 1002.80670363  531.76039305 1323.66265369 1410.93028096
 1620.14882172 1367.61602497 1790.48072917 2119.48884708 2129.971875
 2133.0825047 ]","[ 7.39880952 10.90173847  8.57217262 10.58730159 12.81275202 10.90173847
 15.06980847 10.58730159 16.97617828 18.10665973 19.76818648 17.73829344
 20.46354167 23.48078474 23.55833333 23.50604676]","[0.56858189 0.53847811 0.55814221 0.53882525 0.528296   0.53847811
 0.51740336 0.53882525 0.50726942 0.49399046 0.49291527 0.49370364
 0.48669378 0.46129425 0.46959793 0.46083861]","[0.22401874 0.20662674 0.22016969 0.20622364 0.20041773 0.20662674
 0.1953092  0.20622364 0.18687735 0.1781937  0.17996412 0.17878938
 0.17429226 0.15516204 0.16628771 0.15746122]","[0.47330618 0.45456214 0.46922244 0.45411853 0.44768039 0.45456214
 0.441938   0.45411853 0.43229313 0.42212996 0.42422178 0.42283494
 0.41748325 0.39390614 0.4077839  0.39681383]","[0.96406818 0.92714912 0.95523425 0.93049765 0.89538245 0.92714912
 0.86894914 0.93049765 0.82873667 0.81914797 0.79037337 0.82469996
 0.770688   0.73350041 0.7271532  0.73179118]"
12,"[ 163.20238095  300.74326027  187.95486111  310.95792391  457.74697581
  300.74326027  493.55015121  310.95792391  751.04918033  720.89828304
  774.98796107  750.16675338 1026.22734375 1136.09540446 1051.30104167
 1177.32625638]","[ 4.56845238  6.39153439  5.03720238  6.55127236  7.984375    6.39153439
  8.5844254   6.55127236 10.82018443 10.73283039 11.36910861 10.97528616
 13.29557292 14.37543671 13.7484375  14.81456598]","[0.73253486 0.71640667 0.72752087 0.71380522 0.70579389 0.71640667
 0.70149068 0.71380522 0.68590883 0.68782851 0.68051795 0.6812731
 0.66956362 0.65828011 0.66559248 0.65192088]","[0.45436508 0.43960859 0.44881388 0.43434203 0.43130884 0.43960859
 0.42394473 0.43434203 0.41168762 0.41028656 0.40328501 0.40042146
 0.39329631 0.38040542 0.38578247 0.3689487 ]","[0.67406608 0.66302986 0.66993573 0.6590463  0.65674107 0.66302986
 0.65111038 0.6590463  0.64162888 0.64053615 0.63504725 0.63278864
 0.6271334  0.61677015 0.6211139  0.60741147]","[0.95956312 0.92639931 0.95343016 0.92389949 0.88799969 0.92639931
 0.87923916 0.92389949 0.81855365 0.82791862 0.81276979 0.82093211
 0.75523253 0.73551452 0.74925415 0.72591589]"
13,"[ 193.15178571  428.96371882  278.03497024  423.46157722  578.42641129
  428.96371882  836.3843246   423.46157722  981.83555328 1122.27289282
 1377.23770492 1129.25728408 1344.72682292 1711.54205859 1819.48515625
 1736.98575652]","[ 6.29315476  9.39606954  7.71056548  9.52154195 10.96975806  9.39606954
 13.72605847  9.52154195 14.7710041  16.20993757 18.12961066 16.23283039
 18.02369792 21.28030099 21.68203125 21.38027412]","[0.54375762 0.49806211 0.52351061 0.49091818 0.4836626  0.49806211
 0.46518476 0.49091818 0.45487432 0.43944758 0.42540504 0.43919738
 0.43688437 0.40100798 0.3989941  0.39464172]","[0.12661407 0.11340617 0.12019654 0.11085338 0.10839209 0.11340617
 0.09874282 0.11085338 0.09685631 0.09006428 0.08354661 0.08976569
 0.08931993 0.07518352 0.07271593 0.07394257]","[0.35582871 0.33675833 0.34669372 0.33294651 0.32922953 0.33675833
 0.3142337  0.33294651 0.31121747 0.30010711 0.28904431 0.29960923
 0.29886441 0.27419613 0.26965891 0.27192382]","[0.96052408 0.91323493 0.94317564 0.91434784 0.88302418 0.91323493
 0.83084941 0.91434784 0.80353855 0.77765908 0.72439717 0.77627537
 0.73377731 0.66782131 0.6397557  0.66288317]"
14,"[ 247.0719246   488.06727135  283.34399802  456.08742756  692.5561996
  488.06727135  815.27822581  456.08742756 1167.76716189 1249.61420395
 1347.03816598 1171.43366285 1662.51692708 2055.90163934 1889.265625
 1900.75356087]","[ 7.09424603 10.06072058  7.64260913  9.84001008 11.93674395 10.06072058
 13.18044355  9.84001008 16.00230533 16.91181061 17.67648566 16.34937565
 19.97682292 23.14216608 21.91354167 22.11072292]","[0.56821658 0.53868958 0.55840532 0.54029599 0.52371979 0.53868958
 0.51535762 0.54029599 0.49921251 0.48791574 0.49396418 0.50137669
 0.47733246 0.45846545 0.47370861 0.46378747]","[0.22050875 0.2008225  0.21550353 0.20176835 0.18930908 0.2008225
 0.18596148 0.20176835 0.17327541 0.16857156 0.17174089 0.17730322
 0.15956177 0.14813567 0.15871948 0.15246246]","[0.46958359 0.44813223 0.46422357 0.44918632 0.43509663 0.44813223
 0.43123252 0.44918632 0.41626363 0.41057467 0.41441632 0.42107389
 0.39945183 0.38488398 0.39839614 0.39046442]","[0.96057428 0.92294747 0.95478794 0.92799622 0.89067552 0.92294747
 0.87130976 0.92799622 0.81765289 0.80687845 0.7896787  0.81896086
 0.74323071 0.68893371 0.7082389  0.71240825]"
15,"[ 271.4625496   534.69110607  342.6453373   557.30939783  798.32384073
  534.69110607 1010.41456653  557.30939783 1323.93775615 1339.64308012
 1628.06121926 1412.2830385  1771.60859375 2012.58371406 2118.6421875
 2105.55012094]","[ 7.19072421 10.50163769  8.31944444 10.64071555 12.59047379 10.50163769
 14.60105847 10.64071555 16.70773566 17.36680541 19.30865779 17.79552549
 20.24765625 22.74173609 22.96875    23.08142972]","[0.58880969 0.55037083 0.56952194 0.55188939 0.53908696 0.55037083
 0.52927068 0.55188939 0.51124188 0.50035462 0.49991823 0.50255582
 0.48457661 0.46644574 0.47735594 0.46759492]","[0.23304745 0.21469989 0.22599192 0.2139832  0.20711953 0.21469989
 0.20168886 0.2139832  0.18752231 0.18301925 0.18513339 0.18529979
 0.16950426 0.15844967 0.17171495 0.16252353]","[0.48274988 0.4633572  0.47538607 0.46258318 0.45510387 0.4633572
 0.44909783 0.46258318 0.43303846 0.4278075  0.4302713  0.43046462
 0.41170895 0.39805738 0.41438503 0.40314208]","[0.95934459 0.92074633 0.94868514 0.9173938  0.88168136 0.92074633
 0.85025531 0.9173938  0.80582255 0.80547309 0.76124978 0.79492522
 0.74287964 0.71364871 0.69257401 0.70042149]"
16,"[ 184.13516865  400.84001008  239.18080357  363.83623079  546.55040323
  400.84001008  705.36290323  363.83623079  923.35758197 1029.37148803
 1144.13985656  964.86992716 1264.47994792 1550.71701156 1506.00364583
 1526.56920183]","[ 5.859375    8.92315445  6.90500992  8.49533888 10.29284274  8.92315445
 12.15675403  8.49533888 13.76536885 15.05306972 16.05788934 14.47190427
 16.65598958 19.4877721  19.121875   19.41951088]","[0.59937369 0.56061596 0.59187185 0.56450774 0.55001989 0.56061596
 0.54258059 0.56450774 0.52445078 0.51551009 0.51990233 0.51935363
 0.50069116 0.47598409 0.49795055 0.48527532]","[0.23658647 0.22003819 0.23789348 0.22363954 0.21205468 0.22003819
 0.21116221 0.22363954 0.19523193 0.19095113 0.19575905 0.19238829
 0.17902005 0.16277141 0.17999729 0.17045703]","[0.48640156 0.46908228 0.48774325 0.47290543 0.46049395 0.46908228
 0.45952389 0.47290543 0.44185057 0.43697955 0.44244667 0.43862089
 0.42310761 0.40344938 0.42426087 0.41286443]","[0.96759154 0.93018329 0.95790373 0.93662846 0.90482178 0.93018329
 0.87716364 0.93662846 0.84090734 0.82441233 0.80286477 0.83541485
 0.78445264 0.74090057 0.7432795  0.74493529]"
17,"[ 169.13516865  329.90375409  207.06820437  345.89014865  508.97530242
  329.90375409  589.04889113  345.89014865  853.92264344  846.07492196
  937.51203893  891.59885536 1154.73828125 1305.46331631 1247.67291667
 1385.15103467]","[ 5.59796627  7.78332074  6.14608135  8.16477702  9.86945565  7.78332074
 10.6234879   8.16477702 13.17827869 13.10978148 14.04841189 13.74349636
 16.07265625 17.426767   17.0109375  18.34479979]","[0.61278343 0.58739493 0.60384644 0.57977457 0.56677801 0.58739493
 0.56225391 0.57977457 0.54890967 0.54287663 0.53920972 0.54601722
 0.5314765  0.510223   0.51971059 0.50956135]","[0.26345831 0.24636975 0.25688822 0.24487238 0.23795505 0.24636975
 0.23171664 0.24487238 0.22564446 0.21916177 0.21724303 0.22357897
 0.21109226 0.19500491 0.20294176 0.20001147]","[0.5132819  0.49635647 0.50684142 0.49484581 0.48780637 0.49635647
 0.48136954 0.49484581 0.47502049 0.46814717 0.46609337 0.47284138
 0.45944778 0.4415936  0.45049058 0.44722642]","[0.96374253 0.93003694 0.95560885 0.92664668 0.89208321 0.93003694
 0.87509682 0.92664668 0.82092973 0.82441149 0.80338404 0.81496377
 0.76051578 0.73482627 0.74122399 0.71863961]"
18,"[ 203.86805556  430.34265558  288.62748016  428.90047871  588.96824597
  430.34265558  785.46673387  428.90047871  944.94339139 1042.64828304
 1208.65778689 1025.16753382 1231.46302083 1571.18865896 1558.20651042
 1536.49959688]","[ 4.89087302  7.43209877  6.03472222  7.39984883  8.61038306  7.43209877
 10.58568548  7.39984883 11.4013832  12.4276795  13.68391393 12.26430801
 13.50208333 16.22171459 15.79192708 15.90083311]","[0.75303874 0.73646805 0.74851479 0.73724716 0.73107931 0.73646805
 0.72245562 0.73724716 0.71592436 0.70700531 0.70638185 0.70756533
 0.70165309 0.68415578 0.69002043 0.68376464]","[0.49747715 0.48059086 0.49637018 0.48097466 0.4757141  0.48059086
 0.47090103 0.48097466 0.46106636 0.4481544  0.44863389 0.44891061
 0.44812025 0.41999536 0.4283275  0.4204105 ]","[0.7053206  0.6932466  0.70453544 0.69352336 0.68972031 0.6932466
 0.68622229 0.69352336 0.67901868 0.66944335 0.66980138 0.67000792
 0.66941785 0.64807049 0.65446734 0.6483907 ]","[0.96064825 0.91796174 0.94428751 0.91823667 0.88774502 0.91796174
 0.85029254 0.91823667 0.82219212 0.80616861 0.77256393 0.80941833
 0.77126504 0.71520288 0.71055958 0.7214907 ]"
19,"[ 204.9000496   419.61552028  244.73883929  402.3824641   614.96219758
  419.61552028  740.1625504   402.3824641  1064.44262295 1143.13917794
 1258.52023566 1113.18444329 1541.19140625 1878.23085192 1771.79817708
 1868.54367106]","[ 5.63764881  8.4111867   6.47395833  8.30083144  9.97681452  8.4111867
 11.49269153  8.30083144 13.71311475 14.7140999  15.59810451 14.66259105
 17.33307292 20.12765386 19.38151042 20.2373018 ]","[0.65794402 0.63163875 0.6452426  0.62745531 0.62138695 0.63163875
 0.60800883 0.62745531 0.59877338 0.59147845 0.58971591 0.58765093
 0.57856149 0.56127118 0.57033176 0.55813047]","[0.33206471 0.31725826 0.32845138 0.31507924 0.30730814 0.31725826
 0.30232256 0.31507924 0.28946837 0.29001669 0.28638686 0.28452304
 0.2729008  0.2622862  0.27021715 0.25886683]","[0.57625056 0.56325683 0.57310678 0.5613192  0.5543538  0.56325683
 0.54983867 0.5613192  0.53802265 0.53853197 0.53515125 0.53340701
 0.52239908 0.51213885 0.51982415 0.50878958]","[0.95946684 0.91794357 0.95158597 0.92131352 0.87976394 0.91794357
 0.85528832 0.92131352 0.79431844 0.78157648 0.75682884 0.78730004
 0.70571661 0.64931818 0.6617044  0.65112686]"
