,contrast,dissimilarity,homogeneity,ASM,energy,correlation
274,"[ 182.53794643  386.46056941  263.32862103  412.82842026  544.49773185
  386.46056941  779.21295363  412.82842026  929.25794057 1038.29760666
 1289.58657787 1080.41103018 1333.51796875 1711.28379468 1779.29973958
 1750.77317925]","[ 5.62475198  8.30486269  6.80828373  8.5835223   9.64339718  8.30486269
 12.03150202  8.5835223  12.85835041 14.25026015 16.1977459  14.50520291
 16.25390625 19.39236764 19.75807292 19.69658694]","[0.63290078 0.60622906 0.62613494 0.6029077  0.59265334 0.60622906
 0.58676472 0.6029077  0.56967975 0.56467806 0.56498558 0.56679121
 0.54887699 0.53380266 0.54862398 0.53306463]","[0.28761057 0.26780089 0.28280748 0.2665384  0.25680469 0.26780089
 0.25555985 0.2665384  0.23834778 0.23634641 0.24060429 0.23781971
 0.22271335 0.21402174 0.22853543 0.21415723]","[0.53629337 0.51749482 0.53179647 0.51627357 0.50675901 0.51749482
 0.50552928 0.51627357 0.48820875 0.48615472 0.49051431 0.48766763
 0.47192515 0.46262484 0.47805379 0.46277125]","[0.96676481 0.93042408 0.95205552 0.92567698 0.90198635 0.93042408
 0.85974301 0.92567698 0.83463939 0.81724394 0.77054601 0.80983134
 0.76544028 0.70550986 0.68708679 0.69871424]"
275,"[ 266.98487103  500.43285462  333.27604167  579.16099773  791.29863911
  500.43285462  975.56199597  579.16099773 1352.1045082  1331.03043704
 1609.97387295 1513.32127992 1870.06692708 2117.67643107 2188.76171875
 2354.47406611]","[ 7.45510913 10.25497606  8.48040675 11.2723608  12.89037298 10.25497606
 14.50352823 11.2723608  17.01895492 17.12408949 19.03842213 18.60015609
 20.53098958 22.82235958 23.27942708 24.38753023]","[0.55086031 0.5175509  0.53883998 0.51047934 0.50216293 0.5175509
 0.49534002 0.51047934 0.48466545 0.47396848 0.4748802  0.46868934
 0.46642947 0.4425783  0.45424478 0.43662213]","[0.19634393 0.17750549 0.19133797 0.17662692 0.17097757 0.17750549
 0.16676456 0.17662692 0.16059073 0.15182248 0.1551035  0.15192061
 0.15039836 0.1364409  0.14451389 0.13509624]","[0.44310713 0.421314   0.43742196 0.42027006 0.41349435 0.421314
 0.40836817 0.42027006 0.40073773 0.38964404 0.39383182 0.38976995
 0.38781227 0.36937907 0.38014982 0.3675544 ]","[0.96136404 0.92833141 0.9517702  0.9170565  0.88670067 0.92833141
 0.86030632 0.9170565  0.80846686 0.81331267 0.77190769 0.78774497
 0.73793895 0.70908248 0.69321828 0.67655219]"
276,"[130.53571429 268.45452255 161.6031746  236.68732678 364.1781754
 268.45452255 421.73160282 236.68732678 579.2602459  625.43808533
 648.69595287 574.9516129  780.70833333 941.67938726 856.55755208
 903.49502822]","[ 3.9905754   5.72688335  4.39285714  5.47442681  6.7875504   5.72688335
  7.5093246   5.47442681  9.00358607  9.47554631  9.85220287  9.12539022
 10.88854167 12.44746036 11.64713542 12.33297501]","[0.73148006 0.70775651 0.73105041 0.71163355 0.70097737 0.70775651
 0.69680744 0.71163355 0.67967768 0.67039779 0.67579004 0.67462488
 0.6626689  0.64308974 0.66009912 0.64623308]","[0.43147774 0.41116632 0.43136825 0.41494631 0.40160333 0.41116632
 0.40279786 0.41494631 0.38421961 0.37263405 0.38303637 0.37398838
 0.36663194 0.34708784 0.36695394 0.34886122]","[0.65686965 0.64122252 0.6567863  0.64416326 0.6337218  0.64122252
 0.63466358 0.64416326 0.6198545  0.61043759 0.61889932 0.6115459
 0.6055014  0.58914161 0.60576723 0.59064475]","[0.96184331 0.92251901 0.95276202 0.93168762 0.89491569 0.92251901
 0.878306   0.93168762 0.83503938 0.8240619  0.81524822 0.83826393
 0.78060893 0.74188798 0.75925533 0.75235421]"
277,"[ 230.27926587  495.97253716  322.30233135  476.25925926  653.00252016
  495.97253716  923.25327621  476.25925926 1070.59759221 1225.18132154
 1468.31608607 1191.18444329 1420.48255208 1852.28890083 1901.02395833
 1813.69766192]","[ 6.97271825 10.16855631  8.12673611 10.02796674 11.74546371 10.16855631
 14.10458669 10.02796674 15.30199795 16.61836629 18.21516393 16.47216441
 18.30026042 21.85407149 21.70520833 21.5122279 ]","[0.57602164 0.55109689 0.57004629 0.54873984 0.53833284 0.55109689
 0.52723662 0.54873984 0.51931058 0.51419349 0.50484654 0.51189712
 0.5012534  0.47865448 0.48158944 0.47879289]","[0.24221481 0.22604747 0.23745256 0.22482243 0.22070058 0.22604747
 0.21192156 0.22482243 0.2059173  0.20393702 0.19488563 0.20175353
 0.19348226 0.17885595 0.17826172 0.17626383]","[0.49215324 0.4754445  0.48729104 0.47415444 0.46978781 0.4754445
 0.46034939 0.47415444 0.45378111 0.45159387 0.44145853 0.44916983
 0.43986618 0.42291364 0.42221051 0.41983786]","[0.96448057 0.9242727  0.95028612 0.92728259 0.90031192 0.9242727
 0.85905337 0.92728259 0.83824309 0.81668748 0.77814756 0.82177403
 0.78762123 0.72835271 0.7157249  0.7340121 ]"
278,"[ 220.62996032  461.29100529  301.86507937  464.36734694  632.45413306
  461.29100529  841.96068548  464.36734694 1045.53739754 1156.17845994
 1341.36270492 1146.62330905 1446.15729167 1808.76054824 1771.50104167
 1764.50416555]","[ 5.01438492  7.58075082  6.07093254  7.68858655  8.83215726  7.58075082
 10.74596774  7.68858655 11.87704918 12.91675338 14.15829918 12.84859521
 14.60833333 16.97339425 16.50729167 16.76001075]","[0.75373484 0.73722057 0.75004169 0.73712188 0.73174418 0.73722057
 0.72837078 0.73712188 0.71654538 0.70847472 0.70921353 0.70786282
 0.70107856 0.68512854 0.69586328 0.68697694]","[0.50364999 0.49117058 0.50223989 0.48781007 0.48412819 0.49117058
 0.48030933 0.48781007 0.46475754 0.45833392 0.46123748 0.45595336
 0.44581028 0.42943473 0.44050551 0.42875077]","[0.70968302 0.70083563 0.70868886 0.69843401 0.69579321 0.70083563
 0.69304353 0.69843401 0.68173128 0.67700363 0.67914467 0.67524318
 0.66769025 0.6553127  0.66370589 0.65479063]","[0.96610874 0.93001547 0.9536301  0.92954874 0.90406656 0.93001547
 0.87228819 0.92954874 0.84341918 0.8289309  0.79912175 0.83034469
 0.78619784 0.73903374 0.73810717 0.74541901]"
279,"[ 225.14831349  414.73267826  239.03720238  403.73393802  649.00680444
  414.73267826  661.05216734  403.73393802 1072.03919057 1048.76742976
 1044.65829918  996.42663892 1479.99739583 1665.87825853 1426.09375
 1543.71916152]","[ 6.85416667  9.54245402  7.21676587  9.46737213 11.82434476  9.54245402
 12.24722782  9.46737213 15.7661373  15.91675338 16.19057377 15.36940687
 19.43697917 21.22574577 19.65989583 20.47164741]","[0.55825992 0.51783988 0.54835351 0.52182256 0.50694741 0.51783988
 0.50377257 0.52182256 0.477474   0.4729297  0.47973992 0.47515136
 0.45517052 0.44042093 0.46024091 0.4377844 ]","[0.18825254 0.16823269 0.18502833 0.17480403 0.16127521 0.16823269
 0.16013986 0.17480403 0.14505312 0.14340362 0.14789279 0.14401974
 0.1300864  0.12381761 0.13708076 0.1242433 ]","[0.43388079 0.41016178 0.43014919 0.41809571 0.40159084 0.41016178
 0.40017479 0.41809571 0.3808584  0.3786867  0.38456832 0.37949932
 0.36067492 0.35187727 0.37024418 0.35248163]","[0.96060873 0.92817085 0.95817808 0.93007574 0.88761649 0.92817085
 0.88552887 0.93007574 0.81627233 0.82200172 0.82096786 0.83088499
 0.74897098 0.72287748 0.75813344 0.74319883]"
280,"[ 162.00545635  324.98841018  205.03844246  325.22323003  454.71370968
  324.98841018  590.22908266  325.22323003  763.47336066  803.99453694
  951.15957992  844.50806452 1077.66927083 1242.59957001 1258.50598958
 1339.44181672]","[ 5.4672619   7.8712522   6.38020833  8.05870496  9.28578629  7.8712522
 10.99672379  8.05870496 12.33965164 12.98673257 14.67955943 13.58246618
 15.13854167 17.18274657 17.54557292 18.120129  ]","[0.59817509 0.56671383 0.58411819 0.56512628 0.5538657  0.56671383
 0.54431069 0.56512628 0.52800531 0.52523758 0.51795223 0.52135569
 0.50657095 0.48580311 0.49004431 0.48170886]","[0.245098   0.22608086 0.24032566 0.22735897 0.2191138  0.22608086
 0.21310542 0.22735897 0.20173784 0.19638779 0.19689597 0.19706766
 0.18616753 0.17312903 0.17896701 0.17046556]","[0.49507373 0.47547961 0.49023021 0.47682174 0.46809593 0.47547961
 0.46163343 0.47682174 0.44915236 0.44315662 0.44372961 0.44392304
 0.43147136 0.41608777 0.42304493 0.41287475]","[0.9684596  0.93738112 0.96008041 0.93733588 0.91239976 0.93738112
 0.88629308 0.93733588 0.85446678 0.84826388 0.81869662 0.84061788
 0.7967564  0.77026574 0.76265738 0.75236139]"
281,"[ 195.34325397  371.46737213  246.68849206  401.77475435  557.14919355
  371.46737213  697.64642137  401.77475435  903.36859631  910.46852237
 1107.77612705  967.91493236 1208.91223958 1351.32571889 1454.49661458
 1429.56866434]","[ 6.40922619  9.05870496  7.44742063  9.36507937 10.83417339  9.05870496
 12.75126008  9.36507937 13.95466189 14.43730489 16.50717213 14.97528616
 16.58567708 18.7651169  19.38255208 19.18597151]","[0.56511919 0.52857674 0.54795339 0.52457256 0.51871307 0.52857674
 0.50331704 0.52457256 0.49583822 0.47949063 0.47724844 0.48430976
 0.47173085 0.44171523 0.4525413  0.44542217]","[0.20923276 0.19234816 0.20556493 0.19175055 0.18654059 0.19234816
 0.17995755 0.19175055 0.17091313 0.16282331 0.16337817 0.16669261
 0.15690918 0.13865759 0.14683065 0.14456507]","[0.45741968 0.43857514 0.45339269 0.43789331 0.43190344 0.43857514
 0.42421404 0.43789331 0.41341642 0.40351371 0.40420066 0.40828006
 0.39611763 0.37236755 0.38318487 0.38021714]","[0.96505889 0.93420688 0.9558728  0.92883893 0.90133659 0.93420688
 0.87644417 0.92883893 0.84162076 0.84187016 0.80576401 0.83189288
 0.79017277 0.76979489 0.74751262 0.75646581]"
282,"[156.36656746 284.34366339 198.25843254 303.38019652 393.28704637
 284.34366339 495.24092742 303.38019652 587.73104508 618.34157128
 724.19902664 630.38579605 770.05625    891.31174415 902.7734375
 931.62080086]","[ 4.63888889  6.56034266  5.49107143  6.63693626  7.3813004   6.56034266
  8.8578629   6.63693626  9.54508197 10.17247659 11.13242828 10.22138398
 11.403125   12.75275464 12.8828125  13.20854609]","[0.69585164 0.67263103 0.69081592 0.67540176 0.66866713 0.67263103
 0.66272763 0.67540176 0.64907654 0.64337857 0.64371536 0.64238777
 0.62928796 0.61525719 0.62697806 0.61645964]","[0.39511155 0.37805953 0.39294953 0.37702963 0.37025323 0.37805953
 0.36927362 0.37702963 0.35331459 0.34586883 0.35172076 0.34622913
 0.33435031 0.31622398 0.33247531 0.31682893]","[0.628579   0.61486546 0.62685687 0.61402738 0.60848437 0.61486546
 0.60767888 0.61402738 0.59440272 0.58810614 0.5930605  0.58841238
 0.57823033 0.56233796 0.57660672 0.56287559]","[0.94968849 0.90961242 0.93620963 0.90356105 0.87500585 0.90961242
 0.84260249 0.90356105 0.81551495 0.80817556 0.77267782 0.80443915
 0.76130193 0.73017679 0.72015945 0.71797419]"
283,"[ 149.8015873   346.19803477  220.44543651  314.05039053  411.99042339
  346.19803477  607.26612903  314.05039053  671.07172131  869.31789802
 1000.93135246  805.30228928  943.60416667 1402.54286482 1394.68072917
 1319.43671056]","[ 3.92460317  6.30939783  4.96031746  6.03577727  6.61643145  6.30939783
  8.65725806  6.03577727  8.98360656 10.81893861 11.83965164 10.30593132
 11.30520833 15.04971782 14.546875   14.40687987]","[0.75769546 0.73626954 0.75145365 0.73820174 0.73474236 0.73626954
 0.72689359 0.73820174 0.71843579 0.70718893 0.71035871 0.70816743
 0.70429686 0.6845158  0.69880555 0.6834486 ]","[0.48447342 0.46741314 0.48413141 0.46874724 0.46256621 0.46741314
 0.45896456 0.46874724 0.44445181 0.43435111 0.44109551 0.43177835
 0.42821086 0.40941168 0.42675673 0.40306782]","[0.69604125 0.6836762  0.69579553 0.68465118 0.6801222  0.6836762
 0.67746923 0.68465118 0.66667219 0.65905319 0.66415022 0.65709843
 0.65437822 0.63985286 0.6532662  0.63487623]","[0.96612806 0.92272393 0.95015464 0.92989971 0.90805712 0.92272393
 0.86447792 0.92989971 0.8522126  0.81094613 0.77956998 0.82486785
 0.79496575 0.70288664 0.69695623 0.72049177]"
284,"[ 160.44444444  308.29528849  194.53373016  313.66439909  451.73941532
  308.29528849  526.984375    313.66439909  759.87884221  784.19510926
  859.03995902  781.45317378 1063.95182292 1270.46251008 1207.0984375
 1275.95081967]","[ 4.36855159  6.24540186  4.81349206  6.3638196   7.70766129  6.24540186
  8.49647177  6.3638196  10.58324795 10.97346514 11.62653689 10.96097815
 13.09348958 15.12684762 14.53697917 15.15587208]","[0.74265566 0.72712149 0.74064057 0.72356017 0.71846224 0.72712149
 0.71233145 0.72356017 0.70089713 0.69658732 0.69330877 0.69089525
 0.68305673 0.66722232 0.67614461 0.66115067]","[0.47426823 0.46172596 0.47227771 0.45645317 0.44933079 0.46172596
 0.44706632 0.45645317 0.43010151 0.42998589 0.4268414  0.42080716
 0.41003174 0.39636429 0.40859687 0.38568065]","[0.68867135 0.6795042  0.68722464 0.67561318 0.6703214  0.6795042
 0.66863018 0.67561318 0.65582125 0.65573309 0.653331   0.64869651
 0.64033721 0.62957469 0.63921582 0.62103193]","[0.95812936 0.92054354 0.94923319 0.91915977 0.88359712 0.92054354
 0.86420822 0.91915977 0.80669237 0.80291565 0.78146593 0.80360476
 0.73282549 0.68868703 0.69687839 0.68734218]"
285,"[ 154.43923611  318.37666919  221.54712302  336.20131015  439.8359375
  318.37666919  586.14440524  336.20131015  747.48616803  790.6925078
  916.30199795  801.38397503 1053.86875    1209.74684225 1240.43515625
 1250.96345069]","[ 3.87227183  5.71050642  4.79117063  5.96951373  6.80670363  5.71050642
  8.29662298  5.96951373  9.38678279  9.94328824 11.03457992 10.01352758
 11.74270833 13.31147541 13.36380208 13.58371406]","[0.79041067 0.77487525 0.78544613 0.77479636 0.76973366 0.77487525
 0.76454461 0.77479636 0.75440135 0.74905202 0.75070763 0.75011037
 0.74105827 0.72699782 0.73545033 0.72674698]","[0.55931209 0.54557635 0.55783617 0.5459472  0.54208962 0.54557635
 0.5359015  0.5459472  0.52607115 0.517678   0.51801707 0.51659667
 0.51016941 0.4896882  0.49772881 0.48972648]","[0.7478717  0.7386314  0.74688431 0.7388824  0.73626735 0.7386314
 0.73205294 0.7388824  0.72530762 0.71949843 0.71973402 0.7187466
 0.71426144 0.69977725 0.70549898 0.6998046 ]","[0.94968336 0.89764749 0.92781894 0.89191718 0.85863197 0.89764749
 0.81160226 0.89191718 0.76303117 0.75257473 0.70950075 0.74922914
 0.67052748 0.63161839 0.61217257 0.61906848]"
286,"[ 226.1671627   465.41748551  274.44543651  438.14109347  683.30166331
  465.41748551  822.46169355  438.14109347 1151.20568648 1204.35457856
 1358.40445697 1179.68860562 1567.3546875  1893.87315238 1825.79583333
 1862.51652782]","[ 6.31894841  9.29453263  7.07738095  8.98261527 11.1781754   9.29453263
 12.55745968  8.98261527 15.16009221 15.72554631 16.89421107 15.52159209
 18.50208333 20.95888202 20.48177083 20.7041118 ]","[0.62845006 0.60835024 0.6299425  0.60529345 0.59503885 0.60835024
 0.59141612 0.60529345 0.57127613 0.56830525 0.56573266 0.56633197
 0.55296636 0.53452489 0.54422577 0.53288156]","[0.30628127 0.29236948 0.30905447 0.29220786 0.2849948  0.29236948
 0.28393008 0.29220786 0.26890558 0.26414315 0.2631933  0.26390561
 0.25331217 0.23590022 0.2461263  0.23602719]","[0.55342684 0.54071201 0.55592668 0.54056254 0.53384904 0.54071201
 0.5328509  0.54056254 0.51856107 0.51394859 0.51302369 0.51371744
 0.50330128 0.48569561 0.49611118 0.4858263 ]","[0.96508972 0.92892636 0.95763787 0.93309172 0.89566988 0.92892636
 0.87442374 0.93309172 0.82614301 0.8199864  0.79485153 0.8236732
 0.76589076 0.72289608 0.727286   0.72748406]"
287,"[ 258.84027778  473.24666163  305.78373016  533.89871504  753.06804435
  473.24666163  892.69052419  533.89871504 1270.93314549 1265.28511967
 1465.15983607 1372.94328824 1790.40729167 2103.1386724  2041.16666667
 2197.44127923]","[ 7.09623016  9.84378937  7.63244048 10.43184681 12.078125    9.84378937
 13.42741935 10.43184681 16.32197746 16.76586889 18.12346311 17.67429761
 20.41041667 23.13490997 22.47708333 24.11959151]","[0.58368771 0.54920057 0.57305499 0.54558099 0.54008997 0.54920057
 0.52773819 0.54558099 0.51767063 0.50688811 0.50345089 0.503774
 0.49463329 0.47073475 0.47793263 0.46948738]","[0.22299887 0.20589913 0.21848624 0.20301294 0.19872094 0.20589913
 0.19313302 0.20301294 0.18520202 0.17827572 0.17581419 0.17631516
 0.17115329 0.15387502 0.15975247 0.15338187]","[0.47222756 0.4537611  0.46742511 0.45056958 0.44578127 0.4537611
 0.43946902 0.45056958 0.43035104 0.4222271  0.41930202 0.41989898
 0.41370677 0.39226906 0.39969047 0.39163998]","[0.96487231 0.93643584 0.95850058 0.92828936 0.89886869 0.93643584
 0.88011565 0.92828936 0.83111875 0.83353043 0.80529814 0.81936617
 0.76460331 0.72890607 0.73161422 0.71675048]"
288,"[ 205.91021825  391.64953389  231.80431548  393.45603427  611.63936492
  391.64953389  676.26915323  393.45603427 1012.58273566 1010.40296566
 1098.07658811 1014.36550468 1366.8765625  1610.09352325 1481.51145833
 1594.89384574]","[ 6.27529762  8.86898463  6.83258929  8.80347695 10.87373992  8.86898463
 11.88860887  8.80347695 14.50691598 14.93314256 15.67494877 14.7380333
 17.81302083 19.96828809 18.79791667 19.81779092]","[0.60428191 0.57934751 0.60039548 0.58286538 0.56612636 0.57934751
 0.56074509 0.58286538 0.54548667 0.54046666 0.53627419 0.53837263
 0.52286963 0.50641499 0.51373595 0.50479994]","[0.266185   0.25093079 0.26615449 0.25188922 0.24168029 0.25093079
 0.24039608 0.25188922 0.22744209 0.22476506 0.22332824 0.22264559
 0.21333469 0.20068286 0.20649007 0.19754791]","[0.5159312  0.50092993 0.51590163 0.50188566 0.4916099  0.50092993
 0.49030203 0.50188566 0.47690889 0.47409393 0.47257618 0.47185335
 0.46188168 0.44797641 0.45441179 0.44446362]","[0.9683547  0.94043145 0.9643761  0.94015668 0.90698291 0.94043145
 0.89715685 0.94015668 0.84762487 0.849464   0.83476711 0.84887364
 0.79648791 0.7649849  0.77942446 0.7672035 ]"
289,"[ 215.24702381  448.82867221  297.90749008  433.22474175  581.95816532
  448.82867221  817.85534274  433.22474175  951.68493852 1068.97346514
 1264.9951332  1043.31789802 1276.71354167 1564.31685031 1599.31979167
 1527.54770223]","[ 7.60912698 10.97026959  8.81324405 10.8180902  12.55897177 10.97026959
 14.72631048 10.8180902  16.15983607 17.21227888 18.58632172 17.11810614
 18.82447917 21.71808654 21.40260417 21.39075517]","[0.42170795 0.36751525 0.4021444  0.3706507  0.35936289 0.36751525
 0.32781127 0.3706507  0.33408705 0.31575666 0.30148096 0.31169327
 0.32243372 0.27582748 0.28310296 0.27483295]","[0.05182597 0.04093307 0.04688632 0.0415407  0.03925863 0.04093307
 0.03236108 0.0415407  0.03386725 0.02925475 0.02669118 0.02902127
 0.03164374 0.0229739  0.0232274  0.0224055 ]","[0.22765317 0.20231922 0.21653249 0.20381535 0.1981379  0.20231922
 0.17989186 0.20381535 0.18403056 0.1710402  0.16337435 0.1703563
 0.17788689 0.15157144 0.15240539 0.14968467]","[0.95981836 0.91697158 0.94438605 0.91985813 0.89236981 0.91697158
 0.84872806 0.91985813 0.82569239 0.80580504 0.76817251 0.81046556
 0.76854476 0.72093999 0.70961421 0.72749679]"
290,"[ 163.34027778  326.14915596  219.15625     353.10506425  456.58316532
  326.14915596  587.51965726  353.10506425  758.60860656  811.55202914
  928.77228484  860.59365245 1075.078125   1284.56194571 1254.69661458
 1342.01746842]","[ 4.24305556  6.36079617  5.17857143  6.6127488   7.33669355  6.36079617
  8.84727823  6.6127488   9.99590164 10.95265349 12.03816598 11.35796046
 12.675      14.94302607 14.83515625 15.39290513]","[0.74057237 0.72359734 0.73340194 0.72006084 0.71360891 0.72359734
 0.71037614 0.72006084 0.69936776 0.69238886 0.69229605 0.68904875
 0.68215319 0.66491447 0.67567482 0.66303786]","[0.46080119 0.44528486 0.45524371 0.44178837 0.43682931 0.44528486
 0.43560289 0.44178837 0.4204616  0.41493845 0.41897851 0.41439407
 0.40306274 0.3865654  0.4036952  0.38570203]","[0.67882339 0.66729668 0.67471751 0.66467163 0.66093064 0.66729668
 0.66000219 0.66467163 0.6484301  0.64415716 0.64728549 0.64373447
 0.63487223 0.62174383 0.63537013 0.62104914]","[0.95000322 0.90144571 0.93291852 0.89330029 0.86206009 0.90144571
 0.82250241 0.89330029 0.77382772 0.76105886 0.72309423 0.74661979
 0.68373987 0.63156421 0.63089977 0.61508491]"
291,"[ 187.20386905  352.00705467  224.95486111  363.84328546  520.44102823
  352.00705467  621.0141129   363.84328546  844.72848361  850.90218522
  971.86168033  897.19510926 1147.65625    1322.01182478 1261.28984375
 1388.02472454]","[ 4.76240079  6.78407659  5.48710317  6.97656841  8.30191532  6.78407659
  9.66431452  6.97656841 11.14139344 11.4880333  12.7505123  11.88761707
 13.58333333 15.14270357 14.89921875 15.64633163]","[0.73888401 0.71953399 0.7308488  0.719821   0.71170366 0.71953399
 0.70324656 0.719821   0.69194828 0.68841252 0.68561252 0.68570555
 0.67719722 0.66738893 0.66757022 0.65952539]","[0.47349626 0.45541146 0.4691593  0.45663015 0.45015721 0.45541146
 0.44326347 0.45663015 0.42960785 0.42528066 0.42329851 0.42131635
 0.41144965 0.39900538 0.40319716 0.38806346]","[0.68811064 0.67484181 0.68495204 0.67574415 0.67093756 0.67484181
 0.66578035 0.67574415 0.65544477 0.65213547 0.65061395 0.64908886
 0.64144341 0.63166872 0.63497808 0.6229474 ]","[0.96149495 0.92848228 0.95373014 0.92607749 0.89428208 0.92848228
 0.87385311 0.92607749 0.8305619  0.83135313 0.80506301 0.82217798
 0.77271826 0.74442157 0.75021731 0.7316596 ]"
292,"[ 226.46974206  437.79768204  289.52852183  466.61602419  639.74117944
  437.79768204  829.65498992  466.61602419 1054.8335041  1072.14932362
 1309.48744877 1162.9880333  1434.37395833 1626.69363074 1667.39114583
 1744.31416286]","[ 6.94593254  9.765936    7.94717262 10.06878307 11.7436996   9.765936
 13.64490927 10.06878307 15.38422131 15.71748179 17.56173156 16.48855359
 18.67239583 20.59742005 20.6578125  21.56866434]","[0.55859914 0.52785502 0.54400288 0.52424994 0.51343473 0.52785502
 0.50303234 0.52424994 0.48362542 0.47920486 0.48303853 0.47970332
 0.45707702 0.44230415 0.46293235 0.44547708]","[0.19513781 0.17778188 0.19011561 0.17852028 0.16871489 0.17778188
 0.16599251 0.17852028 0.14992518 0.14924471 0.15516478 0.15097234
 0.13299873 0.12649697 0.14478109 0.13030635]","[0.44174405 0.42164188 0.43602249 0.4225166  0.41074918 0.42164188
 0.40742178 0.4225166  0.38720173 0.38632203 0.39390961 0.38855159
 0.3646899  0.35566413 0.3805011  0.36097971]","[0.96254533 0.92830439 0.952118   0.92358497 0.89524142 0.92830439
 0.86415697 0.92358497 0.82897539 0.82781467 0.78773304 0.81322611
 0.76973859 0.74373669 0.73243818 0.72520717]"
293,"[ 172.19295635  309.26530612  200.60218254  311.42302847  446.93019153
  309.26530612  498.01965726  311.42302847  701.33785861  666.6355359
  742.10502049  698.28537981  904.79505208  973.42622951  967.04427083
 1030.35178715]","[ 4.99007937  6.87477954  5.60763889  6.95792391  8.19077621  6.87477954
  9.12903226  6.95792391 10.6513832  10.78746098 11.70696721 11.21045786
 12.56796875 14.01048105 13.70677083 14.5839828 ]","[0.69836974 0.67416045 0.68751258 0.67235899 0.66961175 0.67416045
 0.66246355 0.67235899 0.65047393 0.63972262 0.63969586 0.64084814
 0.63163598 0.61087383 0.61788409 0.60884566]","[0.39121391 0.37318641 0.38592045 0.37049117 0.36791611 0.37318641
 0.36068157 0.37049117 0.35280964 0.34175008 0.34289561 0.33810398
 0.33342448 0.31256613 0.32270562 0.30877453]","[0.62547095 0.61088985 0.62122496 0.60867986 0.60656089 0.61088985
 0.60056771 0.60867986 0.59397781 0.58459394 0.58557289 0.58146709
 0.5774292  0.55907614 0.56807184 0.55567484]","[0.96000366 0.9290016  0.95340487 0.92850625 0.89741715 0.9290016
 0.8856904  0.92850625 0.8409461  0.85052256 0.83170387 0.84342582
 0.79727849 0.78682531 0.78333564 0.77435895]"
294,"[ 242.40426587  523.07231041  335.20734127  493.56664147  679.49269153
  523.07231041  964.69329637  493.56664147 1110.75947746 1274.21175858
 1519.60527664 1246.24037461 1480.64635417 1864.1709218  1940.63020833
 1879.96452567]","[ 7.35565476 10.88334593  8.84325397 10.80876795 12.43573589 10.88334593
 15.36517137 10.80876795 16.09042008 17.67169615 19.90548156 17.6024974
 19.071875   22.52459016 23.14375    22.61488847]","[0.53779818 0.50168254 0.51955446 0.50444371 0.49522429 0.50168254
 0.47744745 0.50444371 0.46833611 0.45483503 0.45539956 0.45771412
 0.44907206 0.41938157 0.43253493 0.42706499]","[0.19064043 0.17570087 0.18638098 0.17582466 0.16845487 0.17570087
 0.16618723 0.17582466 0.15245765 0.14793491 0.15204391 0.15137866
 0.14023017 0.12597754 0.13955404 0.1307524 ]","[0.4366239  0.41916688 0.43171863 0.41931451 0.41043254 0.41916688
 0.40766069 0.41931451 0.39045826 0.38462308 0.38992808 0.38907411
 0.37447319 0.35493315 0.37356932 0.36159702]","[0.96368354 0.92237038 0.94978179 0.92674934 0.89916737 0.92237038
 0.85685718 0.92674934 0.83675291 0.814399   0.77666232 0.81847331
 0.7845702  0.73342697 0.71749348 0.73116853]"
295,"[ 281.12202381  559.65608466  346.49082341  552.09700176  773.49243952
  559.65608466 1001.91003024  552.09700176 1243.8119877  1375.93938606
 1619.11731557 1406.24011446 1687.87161458 2113.41628594 2148.51796875
 2188.55952701]","[ 7.57688492 10.856387    8.40798611 10.71781305 12.68145161 10.856387
 14.63029234 10.71781305 16.21260246 17.36082206 19.24385246 17.88891779
 19.45078125 22.83794679 23.31171875 23.61730718]","[0.57804165 0.55127188 0.57093654 0.54831324 0.5433233  0.55127188
 0.53736326 0.54831324 0.51898835 0.51425327 0.51625608 0.51178942
 0.50305954 0.48073274 0.49138659 0.47836759]","[0.25513157 0.23986049 0.25126579 0.23779561 0.23233194 0.23986049
 0.22812579 0.23779561 0.21403056 0.21116304 0.21267922 0.21092482
 0.19856703 0.1859765  0.19585381 0.18632505]","[0.5051055  0.48975554 0.50126419 0.48764291 0.48200824 0.48975554
 0.47762515 0.48764291 0.46263437 0.4595248  0.46117158 0.45926552
 0.44560861 0.43124992 0.44255374 0.43165385]","[0.9544611  0.91028294 0.94387377 0.91149472 0.87601736 0.91028294
 0.83942024 0.91149472 0.80272962 0.78397242 0.74324584 0.7792151
 0.73513582 0.67495461 0.66293482 0.66339751]"
